Date,TSLA_Close,DPS_Close,GOOGL_Close,F_Close,AMZN_Close,JACK_Close
2016-12-21,207.699997,90.300003,812.200012,12.64,770.599976,111.339996
2016-12-22,208.449997,90.510002,809.679993,12.4,766.340027,111.269997
2016-12-23,213.339996,90.779999,807.799988,12.46,760.590027,111.419998
2016-12-27,219.529999,90.870003,809.929993,12.39,771.400024,111.589996
2016-12-28,219.740005,90.459999,804.570007,12.25,772.130005,111.970001
2016-12-29,214.679993,90.959999,802.880005,12.23,765.150024,112.550003
2016-12-30,213.690002,90.669998,792.450012,12.13,749.869995,111.639999
2017-01-03,216.990005,90.860001,808.01001,12.59,753.669983,108.400002
2017-01-04,226.990005,91.290001,807.77002,13.17,757.179993,108.980003
2017-01-05,226.75,91.370003,813.02002,12.77,780.450012,108.110001
2017-01-06,229.009995,90.93,825.210022,12.76,795.98999,106.279999
2017-01-09,231.279999,90.540001,827.179993,12.63,796.919983,107.879997
2017-01-10,229.869995,90.080002,826.01001,12.85,795.900024,109.989998
2017-01-11,229.729996,90.019997,829.859985,12.67,799.02002,109.379997
2017-01-12,229.589996,89.489998,829.530029,12.59,813.640015,108.989998
2017-01-13,237.75,89.540001,830.940002,12.63,817.140015,107.93
2017-01-17,235.580002,90.260002,827.460022,12.61,809.719971,107.57
2017-01-18,238.360001,90.339996,829.02002,12.41,807.47998,107.870003
2017-01-19,243.759995,90.370003,824.369995,12.43,809.039978,107.32
2017-01-20,244.729996,90.699997,828.169983,12.36,808.330017,108.360001
2017-01-23,248.919998,91.209999,844.429993,12.31,817.880005,108.190002
2017-01-24,254.610001,91.449997,849.530029,12.61,822.440002,108.169998
2017-01-25,254.470001,91.110001,858.450012,12.79,836.52002,108.029999
2017-01-26,252.509995,90.629997,856.97998,12.37,839.150024,107.339996
2017-01-27,252.949997,90.029999,845.030029,12.49,835.77002,107.139999
2017-01-30,250.630005,90.690002,823.830017,12.37,830.380005,107.199997
2017-01-31,251.929993,91.199997,820.190002,12.36,823.47998,107.919998
2017-02-01,249.240005,90.410004,815.23999,12.32,832.349976,106.639999
2017-02-02,251.550003,91.580002,818.26001,12.28,839.950012,107.010002
2017-02-03,251.330002,91.720001,820.130005,12.56,810.200012,108.309998
2017-02-06,257.769989,91.18,821.619995,12.52,807.640015,107.050003
2017-02-07,257.480011,92.580002,829.22998,12.34,812.5,107.169998
2017-02-08,262.079987,92.779999,829.880005,12.38,819.710022,108.150002
2017-02-09,269.200012,93.18,830.059998,12.38,821.359985,108.559998
